id,priority,year,category,title,official_url,open_pdf_url,official_code_url,relevance
huang2019,essential,2019,closest_prior,"Causal Discovery and Forecasting in Nonstationary Environments with State-Space Models",https://proceedings.mlr.press/v97/huang19g.html,https://proceedings.mlr.press/v97/huang19g/huang19g.pdf,,"Direct prior work; critical novelty correction"
mamba2023,essential,2023,ssm,"Mamba: Linear-Time Sequence Modeling with Selective State Spaces",https://arxiv.org/abs/2312.00752,https://arxiv.org/pdf/2312.00752,https://github.com/state-spaces/mamba,"Selective SSM foundation"
notears2018,essential,2018,causal_discovery,"DAGs with NO TEARS: Continuous Optimization for Structure Learning",https://arxiv.org/abs/1803.01422,https://arxiv.org/pdf/1803.01422,,"Contemporaneous DAG acyclicity baseline"
dynotears2020,essential,2020,causal_discovery,"DYNOTEARS: Structure Learning from Time-Series Data",https://arxiv.org/abs/2002.00498,https://arxiv.org/pdf/2002.00498,https://github.com/mckinsey/causalnex,"Lagged and contemporaneous temporal structure learning"
pcmci2019,essential,2019,causal_discovery,"Inferring causation from time series in Earth system sciences",https://www.nature.com/articles/s41467-019-10105-3,,https://github.com/jakobrunge/tigramite,"Conditional-independence time-series discovery"
cdt2025,essential,2025,causal_forecasting,"Beyond All-to-All: Causal-Aligned Transformer with Dynamic Structure Learning for Multivariate Time Series Forecasting",https://arxiv.org/abs/2505.16308,https://arxiv.org/pdf/2505.16308,,"Direct causal-forecasting comparison with dynamic adapter"
smamba2024,essential,2024,ssm_forecasting,"Is Mamba Effective for Time Series Forecasting?",https://arxiv.org/abs/2403.11144,https://arxiv.org/pdf/2403.11144,https://github.com/wzhwzhwzh0921/S-D-Mamba,"Direct Mamba forecasting baseline"
cmamba2024,essential,2024,ssm_forecasting,"CMamba: Channel Correlation Enhanced State Space Models for Multivariate Time Series Forecasting",https://arxiv.org/abs/2406.05316,https://arxiv.org/pdf/2406.05316,https://github.com/zclzcl0223/CMamba,"Channel-dependence SSM comparison"
dtaf2025,essential,2025,nonstationary_forecasting,"Towards Non-Stationary Time Series Forecasting with Temporal Stabilization and Frequency Differencing",https://arxiv.org/abs/2511.08229,https://arxiv.org/pdf/2511.08229,https://github.com/decisionintelligence/DTAF,"Strong nonstationary comparator; AAAI 2026 repository"
causalrivers2025,essential,2025,benchmark,"CausalRivers -- Scaling up benchmarking of causal discovery for real-world time-series",https://arxiv.org/abs/2503.17452,https://arxiv.org/pdf/2503.17452,https://github.com/causalrivers/causalrivers,"Real-world causal benchmark"
