name,domain,status,frequency,observations,variables,causal_ground_truth,regime_ground_truth,official_source,local_path,license_notes,thesis_use
ETTh1,electricity,included,hourly,17420,7,no,no,https://github.com/zhouhaoyi/ETDataset,LEVEL_03_DATASETS/real/ETT/ETTh1.csv,"CC-BY-ND-4.0; unchanged file and attribution included","Real-world forecasting and efficiency"
ETTh2,electricity,included,hourly,17420,7,no,no,https://github.com/zhouhaoyi/ETDataset,LEVEL_03_DATASETS/real/ETT/ETTh2.csv,"CC-BY-ND-4.0; unchanged file and attribution included","Cross-transformer robustness"
ETTm1,electricity,included,15_minutes,69680,7,no,no,https://github.com/zhouhaoyi/ETDataset,LEVEL_03_DATASETS/real/ETT/ETTm1.csv,"CC-BY-ND-4.0; unchanged file and attribution included","Longer sequence and sampling-frequency benchmark"
ETTm2,electricity,included,15_minutes,69680,7,no,no,https://github.com/zhouhaoyi/ETDataset,LEVEL_03_DATASETS/real/ETT/ETTm2.csv,"CC-BY-ND-4.0; unchanged file and attribution included","Independent longer sequence benchmark"
synthetic_stationary,synthetic,included,step,1200,6,yes,no,generated_locally,LEVEL_03_DATASETS/synthetic/stationary,MIT,"Negative control: online adaptation should not create an artificial advantage"
synthetic_abrupt,synthetic,included,step,1200,6,yes,yes,generated_locally,LEVEL_03_DATASETS/synthetic/abrupt,MIT,"Abrupt graph changes and adaptation recovery"
synthetic_gradual,synthetic,included,step,1200,6,yes,yes,generated_locally,LEVEL_03_DATASETS/synthetic/gradual,MIT,"Smooth mechanism drift"
synthetic_recurring,synthetic,included,step,1200,6,yes,yes,generated_locally,LEVEL_03_DATASETS/synthetic/recurring,MIT,"Returning graph regime and prototype memory"
synthetic_confounded,synthetic,included,step,1200,6,"observed lagged graph only",yes,generated_locally,LEVEL_03_DATASETS/synthetic/confounded,MIT,"Hidden-common-cause failure mode"
electricity,electricity,downloadable,hourly,,321,no,no,https://github.com/laiguokun/multivariate-time-series-data,LEVEL_03_DATASETS/downloads/electricity.txt.gz,"No explicit upstream license; do not redistribute","High-dimensional electricity forecasting"
traffic,traffic,downloadable,hourly,,862,no,no,https://github.com/laiguokun/multivariate-time-series-data,LEVEL_03_DATASETS/downloads/traffic.txt.gz,"No explicit upstream license; do not redistribute","Dense graph scalability and traffic shifts"
solar,energy,downloadable,10_minutes,,137,no,no,https://github.com/laiguokun/multivariate-time-series-data,LEVEL_03_DATASETS/downloads/solar_AL.txt.gz,"No explicit upstream license; do not redistribute","Seasonality and renewable-energy shifts"
exchange,finance,downloadable,daily,,8,no,no,https://github.com/laiguokun/multivariate-time-series-data,LEVEL_03_DATASETS/downloads/exchange_rate.txt.gz,"No explicit upstream license; do not redistribute","Small financial multivariate benchmark"
jena_climate,weather,downloadable,10_minutes,,14,no,no,https://keras.io/examples/timeseries/timeseries_weather_forecasting/,LEVEL_03_DATASETS/downloads/jena_climate_2009_2016.csv.zip,"Verify Max Planck and archive terms before redistribution","Climate variables and distribution drift"
causalrivers,hydrology,external,varies,,,domain_justified,depends,https://github.com/causalrivers/causalrivers,,"Use the official package and check benchmark terms","More defensible real-world causal-graph evaluation"
causaltime,semi_synthetic,external,varies,,,yes,depends,https://arxiv.org/abs/2310.01753,,"Check original benchmark access and terms","Realistically generated causal-discovery evaluation"
metr_la,traffic,external,5_minutes,,207,"road graph is not necessarily a causal graph",no,https://github.com/liyaguang/DCRNN,,"Follow original dataset access and licensing","Optional graph-structured traffic forecasting"
pems_bay,traffic,external,5_minutes,,325,"road graph is not necessarily a causal graph",no,https://github.com/liyaguang/DCRNN,,"Follow original dataset access and licensing","Optional traffic scalability study"
